text_display,call_to_violence
"​@metrkjo я говорю о том  , что люди ищут справедливости , а некоторые опять поднимают вопрос о казахском языке. В данный момент разговор идет о том ,что людей гонят с насиженного места . какая разница на каком языке люди говорят о своей проблеме ?",0.0
"Добрый день, посмотрели  Гиперборей про всё это, всю работу правоохранительных органов и  чиновников выполняют 2 человека! Это- Вы и Базарбек Б, позор чиновникам и правительству!!! Спасибо вам за активную работу, честность, бескорыстие и смелость! Срочно нужно баллотироваться в депутаты, расформировать 98 депутатов и  увеличить долю одномандатников, хотя бы до 50%.",0.0
"@AngryBear-xz4rcони и так , в свое время, бесплатно получили, и землю и квартиры… Получат деньги неплохие,  на которые смогут купить себе жилье в других городах KZ…",0.0
"@Гульнар-ш9с на эти деньги , они могут неплохие квартиры приобрести в Павлодаре, или Петропавловске … да и поближе будут жить к своей исторической родине…",0.0
"Получат неплохие деньги, за бесплатно полученные квартиры и дома…",0.0
"​@user-hz4ot5bk9gҚазақ тілінде дұрыстап жаз,☝️ орыс",0.0
"Достойную сумму получат, за бесплатно полученные , в свое время, квартиры и земли…",0.0
Хотят чтобы в Алматы Казахов было 95%☝️,0.0
"Никого не слушать!!!
Всё снести и построить новые дома!!!
Интересы этих ""недовольных"" не должны останавливать движение вперед и развитие Алматы!!!",1.0
"​@aliyausseinova4781Да, это так 
И сейчас такое идёт без остановки В любом месте, где начальство русские, там набирабт русских, т е идёт дискриминация по национальному признаку!",0.0
ЗАЧЕМ!!! 😢 ЧТО ТВОРЯТ С АЛМАТЫ?!!! КУДА ОТВЕЗУТ ЭТОТ МРАМОР???!!!,0.0
"Выплаты  неплохие получат, за бесплатно полученные  ,в свое время , земли и квартиры … На эти деньги можно купить и дом и квартиру в Павлодаре, или Петропавловске… да и поближе будет к своей исторической родине, меньше затрат на дорогу…",0.0
"Зачем нам вообще чипсы , вредные",0.0
Это настоящий ВАНДАЛИЗМ И ВОРОВСТВО!!! 🤨🤨🤨,0.0
"​@ВалентинаЛейменоваесть ещё хорошая чисто руская пословица ""Хорошо там где нас нет"",☝️💯",0.0
"До распада Союза, в микрорайонах Алматы, не встретишь ни одного казаха… на своей земле  казахи  были второсортным народом…",0.0
"Өте дұрыс айтасың бауырым ☝️ орыс деген шовенис,колоборант және нациз халық ☝️ басқа ұлттарға қарағанда қазақ тілінде сөйлегісі келмейді ☝️💯",1.0
"У этого здания есть паспорт 1980-х годов, где черно по белому написано, памятники культурного наследия, могут только реставрироваться и то только спец,  предприятием. И только колективным решением реставраторами, можно изменять планировку за это отвечает Министерство Культуры, а не Министерство Образования и Науки. Виноваты чиновники акимата г. Алматы и сам миниистр Культуры,  так как онн каждый год подписывет изменения в закон об статусе памятников местного значения, как раз этот памятник относиться мместного значения, а то что памятники города Алматы сняли с учета, это решения чиновников, а не специалистов, которых межлу прочем разогнали, не платя им зарплаты, во главе институтов ставя своих провенивших чиновников, а результат прывышает вместе взятых, мусульманские вандализм  VIII-IX, XIV-XV вв, Петровские бугравшики XVII века, уральское, омское и семиреченское казачества XIX-нач ХХ вв и Хрющевское время 1956-1964 гг. Казахский вандализм (из нации казахов) с 1995 по сегодняшний день 2025 год по уничтожению без возвратно уничтожил в 2.5 раз больше, что за те все эпохи. То есть за 20 лет уничтожели больше кочевого культурного наследия, чем за 500 лет, правления пришлых культур. В Казахстане в 1991 году насчитывалрсь 25 тыс памятников, на 2012 год 12,5 утратили свои статус, то есть эти территории было отдаты на урбанизацию. Своими глазами видел уничтожения памятников относящийся к моему народу, особенно больно было, когда заброшенное захоронения казахского могильника начало 20 века, было утилезированно. Гнев наших предков не за горами и не пожалеют они потомков своих. О Кудай меным, Жеты ата-бабалар, мусульманский Аллах и т.д., простите нас за лицимерную жадность.",0.0
​@aliyausseinova4781 если люди живут в Алматы зачем им переезжать в другой город???  Ну это чушь.  Вы бы переехали из Алматы туда??? Я однозначно нет,0.0
"В советское время директора , профсоюз и кадровички, все были не казахской национальности, вот и выдавали своим квартиры и земли… а казахам был ограниченный въезд в города, а счастливчики , которые смогли попасть, получали квартиры на пятом, или первом этажах…",0.0
"Чиновники не избираются нашим народом, их назначают. Даже через липовые выборы. Поэтому им плевать на здравый смысл и экономически эффективное производство. 
Главное освоить деньги под благими проектами.",0.0
"Им там надо поднять черепную коробку. Помыть, почистить там внутри и поставить коробку обратно посадив на монтажную пену. Может поможет. И будем жить как в нормальных развитых странах.",0.0
@ДмитрийЗверев-э3мна эти деньги можно в Павлодаре или Петропавловске купить  большую квартиру…,0.0
"Также надо посмотреть все гос закупки по аренде помещений( НАО ПРАВИТЕЛЬСТВО ДЛЯ ГРАЖДАН И Т.Д.) , там тоже интересные вещи происходят😂",0.0
Вот такой человек должен быть президентом!,0.0
Одного уже посадили за разжигание национальной розни. Тоже хочешь?),0.0
​@Uasya-rm3xeонбаған,0.0
Лечись от злости,0.0
А когда будет результат,0.0
Если такая страна как ты пишешь все некомпетентные что же здесь живешь. Чемодан вокзал.,0.0
"Бектенов жумыс истемек тугули,сойлеуге еринетин сиякты,отырысына карасан.",0.0
Ваша мова - ваша сила. Але росія захоче вам допомогти... піти на дно.,0.0
​​@ТатьянаМельникова-я9йлечись от злости,0.0
​@ДмитрийЗверев-э3мврать надо меньше,0.0
​@OnlyLegacy89в рф же лучше езжайте.,0.0
​@nikitapavlovich4838наоборот будет меньше,0.0
"Совершенно верно. От количества дармоедов качество принимаемых им законов совершенно независят. Нас всего 19- 20 миллионов населения. Вот такое количество порядка 20 депутатов достаточно на всю страну. А остальных на фиг, всех распустить. Зачем кормить этот расширяющийся в ширь, отросток??? 😮 Толку от них нет и не было никогда.😮 Так что, за их сокращение весь народ проголосует непременно.😮",0.0
Все знают,0.0
"😂😂😂😂Uzbekistonga kelsang,bunaqa ishlarni kurib,uzingni otib quyarkansanda.😂😂😂😂😂😂😂Bitta peshexodga shuncha vahima.😂😂😂😂😂",1.0
"Пиздец,👎👎👎👎👎отстой.😂😂😂Единая Россия бля рулит,крышкой от унитаза😂",0.0
Это вандализм,0.0
​@Qazaq-q4rза эту стоимость и гараж сейчас не взять. Так что это дела собственников жилья. А не ваше,0.0
Сплошная коррупция! Когда нибудь это закончится?! 😮,0.0
Очень смешно.,0.0
Как вы их чуете 😂 вы прям Шерлок холмс,0.0
"Во всём виноваты китайцы. Почему катализаторы не антивандальные? У нас даже урны антивандальные. Потому что тащат всё, что плохо приварено",0.0
Доставщик пиццы под прикрытием капец,0.0
Черный список кого ? Капец,0.0
Боже что это все,0.0
Как можно спрятать в жилом доме?,0.0
Ничего не сноситьЗачем проблемы ?! Стройте в Каскелене на Капчагае в Иссык Город все! Закрыть любую стройку,0.0
По 1 милиону доларов США за сотку!,0.0
Вот ты балбес,0.0
"Успокойтесь люди. Все равно всем в акимате насрать на вас. Все равно снесут, и вас ни кто не будет слушать.",0.0
Санжар наш президент Долой воров и коррупционеров,0.0
оңбағандар,0.0
Сумдык,0.0
"Талькова за то и ликвидировали, он предупреждал что  мы бесправны с таким правительством.",0.0
Я считаю Сталина на них нет!,0.0
"Антикор коррупционеры млрдами долларов воруют выводит деньги за рубеж начиная с депутата, акима, Чиновники, Министры назначенные Назарбаевым ПАРАЗИТЫ везде!!!!",0.0
"Это реальный вандализм, люди даже не в спецодежде, просто гражданские разбивают плитку, куда смотрит полиция?",0.0
Не переживай будет ещё больше,0.0
"В Казахстане только казахи являются нацией ☝️а все остальные являются этносами  живущие диаспорами,,☝️и эти этносы являются нациями только в своих национальных государствах☝️💯",0.0
"Спрятать спрятали, а наш Шерлок Холмс нашёл",0.0
Иногда думаю.хорошо что я бездомный.меньше проблем😂надо уезжать надеюсь там нет такого беспредела.,0.0
пока притихли,0.0
"​@jasdin9411ахах, бот повелся)",0.0
"Мне кажется, все уже так привыкли что вокруг всё ломают, что если кто-то начнёт кувалдой крушить дом, то никто даже в полицию не позвонит.",0.0
"​@летящая-л9б1881свои комментарии почитайте и посмотрите кто провоцирует. Пишите грамотно на казахском либо на русском языке, хоть один язык грамотно изучите",0.0
Зачем мне переезжать если я здесь живу?,0.0
"Это район такой, просто понятно же, частному сектору в нижней части города не быть- безработица не исчезнет, легче расширять Алматы, за счёт частного сектора, чем победить безработицу в остальных регионах",0.0
"А как же Конституция,где написана, что частная собственность -  неприкосновенна...",0.0
Дохера их оказывается в Алматы еще.,0.0
"Нужда прежде всего в государстве открытие новых заводов и рабочих мест а не раздача под видом приватизации построенных в советское время фабрик и заводов и детских садов ведомственных и зданий быаших ведомственных поликник  и зданий  бывших кинотеатров, библиотек , Домов пионеров и школьников своих родственникам и друзьям .",0.0
"Алматыда әліде орыс диаспорасы көп екен ☝️нағып елдеріне көшпейды бұлар  👻Педерацияға шақырып жатыр ғой, Путин атасы☝️",0.0
"Подняли пенсионный возраст,денег теперь в бюджете куры не клюют😂...вот и суют куда попало сьекономленое на наших жизнях...",0.0
Қаланың сәнін құртып жатқан секілді,0.0
Согласен с тобой,0.0
Позор,0.0
Это всё делает токаев кровожадный диктатор лжец и лицемер,0.0
Нужно писать побольше комментариев и ещё немного подождать,0.0
​@bokeiordas6476поэтому и беситесь. Добрее надо быть,0.0
"Приношу извенения,когда печатал допустил ошибку?",0.0
"Они если несправились,всех в оставку.Конечный результат их работы,низский уровень жизни народа,людей загнал  в тупик.Вы собрались гиганты мыслей,вас народ избрал,одни  разговоры а движения нет. Зачем их содержать и платить народные деньги. Немогут в оставку?",0.0
"Поздно,у тебя уже весит с рождения​@Кочевник-е5ф",0.0
"класическая мошенническая схема 
сначала отнимают у граждан их собственность дома и земли под ними 
компенсируя по будто бы справедливой отценке стоимости недвижимости деньгами или какими либо квартирами на окраине 
а потом во втором раунде 
уже отнятые земли продают строительной фирме под строительство по цене в трое тире пятеро от той что выдали гражданам владельцам домов и земли
скажем на компенсацию потратили 1 миллиард тенге 
а перепродали потом их земли стройфирмам под 30 этажки 
уже за 5 миллиардов тенге 
это пример суммы сами подставьте по вашей ситуации 
таким образом получается что акимат присваивает себеот 50% до  80% реальной стоимости домов и земель  отнятых у граждан 
обворовывает граждан на еще одну две квартиры 

если бы все это было справедливо 
скажем 
територтя определяется под строительство многоэтажек и продавцом земли назначается коммитет собственников домов и земель того района проходят торги и сумма вырученая за земли идет не акиму и его мафиозной семье 
а самим гражданам собственникам земель 
тогда думаю протестующих было бы меньше или вовсе небыло 

эта нынешняя схема преступна 
воровство это ограбление мошенничество",0.0
"Пожалуйста,  не сностите частные дома в Алмате...",0.0
по какому праву частная собственность присваивается каким то акимом !?,0.0
"Захотели детский дом сносят , теперь жилые дома ,ещё к зиме ....всех в отставку требуем ,кто принимал такие решения!",1.0
"О них и думают, компят коррупционные деньги бля них😂",0.0
Какая дорогая аренда 1 день 50 тыс? Сколько км едет за один дерь?,0.0
За снос этого здания надо всех судить!,0.0
Такие здания надо сохранить! Как музей,0.0
Старые конструкции вечные!! Отмывпли денег!,0.0
Снос в старом городе надо запретить!,0.0
Чуть бегунок вперед толкните и подождите.,0.0
"У нас автобусы зелёного цвета, а у них красного цвета и поэтому у них бесплатно. Вот и надо перекрасить наши автобусы на красный цвет, и тогда будет бесплатный проезд. Шутка конечно)",0.0
При чем тут это позорище,0.0
При чем тут это позорище,0.0
"​@onerbekkaton1571 про ""народ"" никто и не думает...",0.0
"​@АлександрАлександрович-ы3ы6в что касательно  покраски,  поставить  автоматизированную линию  будет  стоить, в зависимости от  производительности, от нескольких миллионов до нескольких десятков миллионов  долларов,  а поставить 10 человек с краскопультом и дать им зп 250к тенге это будет  стоить  30лям в год , при мелко серийном производстве  это  будет значительно  выгодно. 
А что касается остального, что вы писали, скажу кратко всё  это лишь  следствие  развития обществено-экономических отношений и это не только у нас в Кз.",0.0
"Нет никакой логики у наших чиновников от власти. Во первых зачем этот вредный для организма продукт??? Зачем травить свой малочисленный народ ??? Это просто диверсия и вредительство против нации и народа своего.😮 Нас и так мало, еще и травить хотят.😮. Судить и сажать их безжалостно надо.😮. Что нибудь полезное могут производить или нет?😮",0.0
"Почему Санжар ни кого не обвиняет понятео, домается вмем. Нам запретили выступать против. Ну вы уже видели. А если мы не присоеденимся к смелому Санжару, можем сьать овечками. Я почему так написал, тоже бздун. (Трус) но мне не пофиг. Просто помогиье ему.",0.0
"Это что за внештатный советник президента, который нахапал на более 3 миллиарда тенге работы, а работа его не стоит таких денег, и даже половины. Вот где оседают государственные деньги, народные деньги. В карманах чиновников от власти. Это воровство на наших с вами глазах. Наглое, бессовестное воровство. Это ужасает. Страшно, что останется через несколько лет такого воровства вообще в стране???",0.0
В России не видел говорящих😂,0.0
"Вот, зачееем????",0.0
"​@albertkrasnogorskiy7368смешно,  упасть с лестнице можно и на втором этаже .. а на окна всегда должны стоять ограничитель,  в не зависимости  от этажа.
Архаизмы говорите.  Можно и 12 этажей и на крыши бассеин и ни кто не упадёт, если все чётко проектировать и строить",0.0
Беспредел.,0.0
Это называется преступления😢,0.0
Поддерживаю👍,0.0
Полиция боится нас...почему они разговаривают через решетчатую дверь ...полиция по ту сторону от народа...,0.0
РАЗБИРАЮТ ГОТОВЫЕ С ЗАВОДА.ПРИВОЗЯТ В КАЗАХСТАН. СОБИРАЮТ. ЭТО УЖЕ НЕ СЕКРЕТ,0.0
"Здравствуйте Санжар
У меня вопрос!
Писать заявления дорожным компаниям ели повредили автомобиль из за не качественный асфальт 
Если это возможно можем взять канализацию ?",0.0
"Чиновники, бл--ть,о детях,внуках подумайте ??что вы им в наследство оставляйте??одни долги??😢😢😢",0.0
😂😂😂,0.0
"Англосаксы делают из Казахстана, 2 Украину?😢😢",0.0
Надо лишить земли тех кто это принял,1.0
Постановление акима разве закон?,0.0
"​@kartade Мы жизнь знаем, знаем всё, что касается нас 
Если общие почему не сообща?",0.0
@летящая-л9б18 Не с той стороны смотрите. Проблемы общие.,0.0
"Как уже надоели эти варвары и дилетанты , все разрушают.",0.0
"Меня несколько напрягает, что выступают одни русские То, что русские для себя всегда ищут и находят проблемы мы знаем 
Не может же быть, чтобы не жили вместе с ними и казахи, значит их обошли Почему? Информация к размышлению 
Запомните, только с участием казахов будем поддерживать 
Смотрим на Россию, там так не допустили бы Однозначно",0.0
Их надо сократить на 70,1.0
Вы и есть нацисты В России такое выступление прикрыли бы однозначно,0.0
Они не живут там или их очень мало,0.0
"​@OnlyLegacy89Человек высказал мнение, а вы решили провоцироваете!",0.0
Это и есть политика: люди высказываются против Не говорите зря!,0.0
Надо же воровать деньги откуда то воровать,0.0
Это как надо ненавидеть свою землю и народ чтобы на такое идти,0.0
Преступники,0.0
Алма-атА,0.0
"В акиматовских машинах тоже нет катализаторов ,знакомый там работал .вырезают сразу с новой машины",0.0
Не вешай лапшу,0.0
БАИАҒЫДА БІР БІЛМДЫ БІР ҚАЗАҚ АИТЫПТЫ ТІЛН БІЛМЕГЕН ДІНДЫ БІЛМЕИДЫ ДНДЫ БІЛМЕГЕН ДЫМДЫ БІЛМЕИДЫ СОНДЫҚТАН МЕН АИТАИЫН ЕГЕР МЫНА РӘСЕИ ТЛНДЕ СӨИЛЕГЕН БУЛ ҚАЗАҚ ЛЕП АИТУҒА ҮИАТ БУЛАР ШОҒЫРЛАНҒАН БІР ТОП ШАИКА ҚАЗІР ЕЛМЗДҢ ҚАРАЖАТЫН ЖЫМҚЫРЫП СОДАН СОҢ ТАИЫП ТУРАДЫ ӨЗДЕРҢ КӨРП ЖУРСҢДЕР ҒОИ ҚАНША ЫҒАИ МЕН СЫҒАИЛАР  БУРЫНҒЫ ӘКМ ДЕР СӘКМ ДЕР ШЕТЕЛДЕ ҚАРСАҚ СЕКЛДЫ ҚАШЫП ЖУР БІЗГЕ САНЖАР СЕКЛДЫ ЖАСТАР КӨП КЕРЕК СОНДА БІЗ УРЫНЫДА ЖЕМҚОРЛЫДА БАСҚАНЫДА ӘЛГІ РӘССЕИ ТЛДДЕ ТІЛН ҚЫСҚАРТЫП ӨТРГН ШЫҒАРЫП ЖАУАПҚА ТАРТЫП АБАҚТЫҒА КАМАУ КЕРЕК ОЛАР АНА РӘСЕИ ТЛДЛЕР ДҢ ШАБАРМАНДАРЫ ҚАЗАҚ АИТҚАН ОРЫСТАН ЖОЛДАСЫҢ БОЛСА АИБАЛТАҢ ҚАНЖАҒАҢЛА ЖУРСҢДЕРП СОНДЫҚТАН БІЗ МЫНА КЛИБАНОВ СЕКЛДЛЕРДҢ БЫЛЫҒЫН ШЫҒАРЫП ӘДЛЕТТК ОРНАТУМЫЗ КЕРЕК ОЛ КЛИБАНОВ СЕКЛДЛЕР ОЛАР УЛЫ УРЫ СУЛТАН БОЗОРБАЕВТЫ МАҚТАП МАҚТАП ҚАЗАҚ ЕЛНІҢ ТЕНГЕСН ЖИНАП ЕРТЕН РӘССЕИ БІЗГЕ ШАБУЫЛ ЖАСАСА ОЛАР ҚОЛМА ҚОЛ БІЗДЫ САТЫП КЕТЕДЫ ОЛАРДЫҢ ІШНДЕ НЕ БІР ЖЕМҚОРЛАР ДЫҢ СЕРКЕЛЕРІ ЕШКЛЕРЫ ЖӘНЕ ГЕНЕРАЛДАРЫ БАР БІЗГЕ ҚАЗАҚ ЕЛНЕ ӨТЕ САҚ БОЛУ КЕРЕК СОЛАРДЫҢ БӘРН ЖАЗАҒА ТАРТЫ ҚАЗАҚТЫН ИТ ШЕККЕНІНЕ ЖБЕРУ КЕРЕК ТЕП ОИЛАИМЫН АЛ СЕНДЕРДҢ КӨЗ ҚАРАСТАРЫҢ ҚАРАИ,0.0
Что закрыли рот выступавшему ? Правда глаза уколола ?,0.0
Помогите жителям мкр Теректы получить ИЖС своих же земель,0.0
Мой голос будет за тебя!!!,0.0
"Я уже не могу смотреть такие видео, сердце кровью обливается. Вредители, варвары! Как у исполнителей рука поднимается производить такие действия",0.0
Высотка это бабки и эта стройка по всей центральной Азии происходит. Сносят в наглую под предлогом потом продают и застраивают,0.0
САНЖАР БАУРЫМ СЕНІ ЖӘНЕ СЕНІҢ ОТ БАСЫҢА АЛЛА АИАДЫҚ ПЕН ДЕНСАУЛЫҚ БЕРСН ал ана жиғаз жасайтын дардың ӨТРГНЕ БЕРЕКЕ БЕРМЕСН ОЛАР ДЕТНМ УЛЫ УРЫ СУЛТАН БОЗОРБАЕВ АРДЫҢ ШАУЫП КЕЛ БАРЫП КЕЛДЕРЫ ҒОИ БЫЛАИ АИТҚАНДА ӨТРК АИТЫП ҚАРАПАИЫМ ҚАЗАҚ ЕЛНІҢ КАРЖЫСЫН ЖЫМКЫРЫП ӘКМ СӘКМЫ БАИАҒАДА БІР АҚЫЛДЫ ҚАЗАҚ АИТЫПТЫ ЭИ ЖИНАЛДЫҢДАРМА ӨНКЕИ ЫҒАИ МЕН СЫҒАИ МІНЕ ӨҢКЕИ ЫҒАИ МЕН СЫҒАИ УЛЫ УРЫ СУЛТАН БОЗОРБАЕВ 30ЖЫЛ БУЛАРДЫҢ ТӘРБИЕЛЕДЫ БУЛАР СОНЫҢ ОҚУШЫЛАРЫ ЕНДЫ БУЛАР ОДАН ОЗБАСА КЕМ ҚАЛМАИДЫ ӨЗҢ САНЖАР ӨТЕ АБАИ БОЛ БУЛАРДАН БӘРН КУТУ МУМКН БУЛАРДАН НАМЫС ҮИАТ ЕЛМ ЖЕРМ ДЕГЕН СӨЗ МУЛДЕМ ЖОҚ ОНДАИ СЕЗМ ДЕ ЖОҚ,0.0
"исчезни , раб",0.0
Шариковы и Швондеры  только умеют что ломать!,0.0
Без смены всей политической и экономической системы никак.,0.0
"❤❤❤❤ПОДДЕРЖИВАЮ,НУЖНО  НАПЕЧАТАТЬ ФЛАЕРЫ,,ПОТОМУ,ЧТО ПОЖИЛЫЕ ,НЕ СМОТРЯТ ИНТЕРНЕТ И НЕ ЗНАЮТ ,КТО ОН ТАКОЙ,,И  НАЧАТЬ ОГИТИРОВАТЬ,,ЧТОБЫ  НАБРАТЬ ГОЛОСА",0.0
Вот как их наказывать? А Санжар?,1.0
Мәселені өте дұрыс қозғап отыр.Жарайсың Санжар!!!,0.0
😂😂😂😂😂,0.0
ПЕНСИИ БЫ ПОВЫСИЛИ БЫ.,0.0
ОНИ БЫ ГОЛОВЫ СВОИ ПОМЕНЯЛИ. ВО БЫЛО БЫ ЗДОРОВО...,1.0
@ТаразТараз-ь8г👍,0.0
"Ұрлық түбі қорлық 
Ұұрылар  Алладан қорқыңдар өйткені не істесең сол еселеп қайтады өзіңе",0.0
Наследие НАНа живет и процветает. Только смена власти и люстрация положит конец всему грабежу средств налогоплательщиков.,0.0
"Не только смертную казнь ввести , прилюдно на площади , но и полное конфескацию имущества самого чиновника и его родных ; жены детей,  братьев , сестёр , 
А потом отправить его родных и близких жить в заброшенные города. 
 Вот тогда может что-то и измениться",1.0
"Со своими разберитесь. Мы сами знаем кто есть кто, не в вакууме живём.",0.0
"Если депутаты и аким района,  будут следить , то на какие деньги они будут шиковать и ездить отдыхать за границу 😅😅😅",0.0
"@albertkrasnogorskiy7368 уймись упоротый, как там в/на Украине? Оттуда хорошо все видно?",0.0
Эх если бы Санжара поставили бы хотя бы акимом Алматы- сколько результатов хороших мы бы имели!❤,0.0
"Ну а кто их накажет,это же круговая порука.Тот кто должен это наказывать он же в доле,а как можно самого себя наказать 😂",0.0
Варворское отношение,0.0
​@OnlyLegacy89дұрыс солай таратып берсін,0.0
У вас оказывается тоже придурков с камерами хватает😂,0.0
У этих депутатов есть помощники.,0.0
"Когда завтра твою халупу заберут, не плачь тут в комментариях",0.0
"О, вспомнил свои корни. Может ещё дома отдать Найманам и уехать?",0.0
"Бот, сколько щас платят за комментарии? Чашку риса?",0.0
"Действительно, русские же отбирают земли? Алло?",0.0
Мошный Бокаев я не Алматец,0.0
"Народ повсеместно говорите во СМИ соц.сети,бардак, что твориться по всему Қазақстану, не будьте равнодушными",0.0
Рахмет,0.0
​@Валентина-е4ц1щПредставьте себе.Халыққа арзандық керек.,0.0
"А что так просто экспертом?) выберите сразу советником президента, нормальную зарплату дайте, народ выбирайте!) все в ваших руках! сомневаетесь в нем?), думаете, потом забудет прр народ?))
Ну, это уже бір Аллам біледі))",0.0
Это они показывают детейлинг центр 😂😂,0.0
Вредители!😢😢😢,0.0
"Китай грамотно стал делать , открывают заводы выкупают територий и ставят местных граждан Казахстана деректорами😅",0.0
"Зачем ты используешь арабскую фразу ""мир вам""? Не могу поверить, что ты стал арабом😢😢😢",0.0
"КОШМАР, какой толк от этих депутатов?",0.0
​@АскарбекАбирбаевИ?,0.0
Надо перекрасить автобусы в красный цвет!😂,0.0
"​@imtitanium6691по закону дают ведь рыночную стоимость, а сверх они перегибают по факту",0.0
"Братан!!! Пасмотри, запад с евросаюзом   капусту рубят на хохляндии, трилионы в карманах крутятся.   сматри затабой прийдут сфабрикуют на тебя о вымогательстве взятки и закроют. это лёгкое наказание будет.имей запасной эрадром, дома неначуй ценности дома не держи, могут прейти затабой вечером или рано утром, это картонка ихняя. Ты меня услышал!!!",0.0
Жалко такое здание красивое было архитектура хорошая была твари мракобесы сажать на долго надо варваров,0.0
Вандализм үшін жауапқа тартылсын,0.0
