comment_id,video_id,parent_id,text_display,text_original,author_display_name,published_at,like_count
UgwSIrg_BVLXB2Ab9Kp4AaABAg.APAIPBypPlFAPBQr-uDhx4,t_HtRmlKCVI,UgwSIrg_BVLXB2Ab9Kp4AaABAg,"​@amaterasu5 Пиши правильно, где ты видишь межнац? когда в Казахстане есть только одна нация и это Казахи ☝️ остальные этносы состоящие из диаспор☝️","​@amaterasu5 Пиши правильно, где ты видишь межнац? когда в Казахстане есть только одна нация и это Казахи ☝️ остальные этносы состоящие из диаспор☝️",@metrkjo,2025-11-06T13:58:15Z,1
Ugw9ZIJC0LpGV-SKe214AaABAg,cRFrpHoDGsc,,Это Казахстан.Сплошной цирк.Клоуыны не позортесь.,Это Казахстан.Сплошной цирк.Клоуыны не позортесь.,@НурланАйбасов-т6х,2025-11-06T13:52:54Z,2
UgzWFdetS_9lqFBOIm94AaABAg.AP8FsKAjNeqAPBPr-Ek5c_,t_HtRmlKCVI,UgzWFdetS_9lqFBOIm94AaABAg,"​@aliyausseinova4781 Алия, как долго вы жили в советское время?","​@aliyausseinova4781 Алия, как долго вы жили в советское время?",@ГалинаНестерова-щ9м,2025-11-06T13:49:30Z,0
UgwYjAxcVNOYv3Yum854AaABAg,cRFrpHoDGsc,,Позорники,Позорники,@SakeBake-to2dr,2025-11-06T13:42:17Z,2
UgwSIrg_BVLXB2Ab9Kp4AaABAg.APAIPBypPlFAPBOsjkDxnF,t_HtRmlKCVI,UgwSIrg_BVLXB2Ab9Kp4AaABAg,​@amaterasu5ЭТО ВЫ ПРОВОКАТОРЫ И НАЦЫКИ😮😮😮😮,​@amaterasu5ЭТО ВЫ ПРОВОКАТОРЫ И НАЦЫКИ😮😮😮😮,@VyacheslavYurkin,2025-11-06T13:41:00Z,0
Ugyqo2hOC8_rdx0r0L94AaABAg,t_HtRmlKCVI,,"Людей просто оставляют на улице или выкидывают за город!!  За сотку сегодня дают 11 миллионов( 2 сотки) 22 миллиона, что может купить на эти деньги семья из 5 человек? Квартира в сов.доме( 2 ком) 25 миллионов ,в новом ДК 2 ком 49 миллионов, где людям жить???","Людей просто оставляют на улице или выкидывают за город!!  За сотку сегодня дают 11 миллионов( 2 сотки) 22 миллиона, что может купить на эти деньги семья из 5 человек? Квартира в сов.доме( 2 ком) 25 миллионов ,в новом ДК 2 ком 49 миллионов, где людям жить???",@Этель1975,2025-11-06T13:37:51Z,0
UgxtMiJYI1IPAS7sYyV4AaABAg.APBInSSDdGVAPBODIpg_os,gvDGa3Fw2Jc,UgxtMiJYI1IPAS7sYyV4AaABAg,Причём тут Токаев ? Этих вров выращивал нан 30 лет..и этот один из них ...бывший акиматчик отодвинутый от кормушки 😂,Причём тут Токаев ? Этих вров выращивал нан 30 лет..и этот один из них ...бывший акиматчик отодвинутый от кормушки 😂,@ИльнурБасир,2025-11-06T13:35:13Z,0
Ugz-a4arfnHmM5Rxk514AaABAg,cRFrpHoDGsc,,Это не завод а сто по ремонту кузовов 😂😂😂😂 пародие на автозавод 😂😂😂,Это не завод а сто по ремонту кузовов 😂😂😂😂 пародие на автозавод 😂😂😂,@ЕкатеринаДоскулова,2025-11-06T13:30:32Z,3
UgwSIrg_BVLXB2Ab9Kp4AaABAg.APAIPBypPlFAPBNM7y0_z7,t_HtRmlKCVI,UgwSIrg_BVLXB2Ab9Kp4AaABAg,Provokator. Razjiganie mejnacionalnoy rozni. Scrin + IP budut peredani v sootvetstvuyushie organi.,Provokator. Razjiganie mejnacionalnoy rozni. Scrin + IP budut peredani v sootvetstvuyushie organi.,@amaterasu5,2025-11-06T13:27:41Z,1
UgycSH5dKSbnBrZtH5F4AaABAg,uWTO6556G3A,,Это советский Железобетон,Это советский Железобетон,@ДЖЕКСОНБЭКСОН,2025-11-06T12:57:30Z,1
UgyeXL8ppd1x2Xe9Vk94AaABAg.AP7y6srEtTmAPBJ2VpXAZ0,t_HtRmlKCVI,UgyeXL8ppd1x2Xe9Vk94AaABAg,​@землянин0705Өте  дұрыс айтасыз. Қаншама  қазақ  үйсіз  күйсіщ  жүр өз елінде. Кеңес  кезінде  тегін  алған  үйлері  ғой. Атам қазақ  ол  кезде  жәйлауда  қой  бағып  қалаға  оларды  кіргізбейтін  де .,​@землянин0705Өте  дұрыс айтасыз. Қаншама  қазақ  үйсіз  күйсіщ  жүр өз елінде. Кеңес  кезінде  тегін  алған  үйлері  ғой. Атам қазақ  ол  кезде  жәйлауда  қой  бағып  қалаға  оларды  кіргізбейтін  де .,@aminanurgazina597,2025-11-06T12:50:03Z,1
UgwHTZWu8W1QGRdx-OB4AaABAg.AP7z-7n0aBQAPBIoEGaYfh,t_HtRmlKCVI,UgwHTZWu8W1QGRdx-OB4AaABAg,​@imtitanium6691ойбаай  сколько  ненависти и злобы  в твоём комментарий Кошмар,​@imtitanium6691ойбаай  сколько  ненависти и злобы  в твоём комментарий Кошмар,@aminanurgazina597,2025-11-06T12:47:58Z,0
UgxtMiJYI1IPAS7sYyV4AaABAg,gvDGa3Fw2Jc,,Тонкаев конкретно поощряет коррупцию распустил своих воров,Тонкаев конкретно поощряет коррупцию распустил своих воров,@Дауыл-ш7д,2025-11-06T12:47:51Z,1
Ugz7lXK2loBdop79NuN4AaABAg,Io8GbskM6WU,,Рыба гниёт с головы,Рыба гниёт с головы,@ДмитрийИванов-г9з,2025-11-06T12:45:56Z,0
UgyqtBfB-NVNM6O9rVh4AaABAg,JYJtdwNVPPs,,Да уж,Да уж,@НуржанСердалинов,2025-11-06T12:44:03Z,0
UgwOBjhHRZ7LLdZnYhd4AaABAg,D-8iBh6b4BA,,Пусть бережет вас Всевышний,Пусть бережет вас Всевышний,@ainurabdi631,2025-11-06T12:36:31Z,3
Ugxb8dC-ui5rvbxDtNF4AaABAg,I7yNmnAeefA,,Халык сайламагандар ештене кормейди еситпейди жемкорлык жайлаган жерде солай,Халык сайламагандар ештене кормейди еситпейди жемкорлык жайлаган жерде солай,@ТалгатОрынбаев-ю4о,2025-11-06T12:35:51Z,0
UgyL8OH7JfOEKVxdSX14AaABAg,D-8iBh6b4BA,,Спасибр вам🙏,Спасибр вам🙏,@ainurabdi631,2025-11-06T12:33:11Z,2
UgyYOZZqQ7mSUQry7L54AaABAg,QX1nVDTcUcg,,👍👍✊️💪❤️🙏,👍👍✊️💪❤️🙏,@АрманКабдешев,2025-11-06T12:30:07Z,0
UgwZhiAJHAKN9sg3Frt4AaABAg,YIm-JWnllXc,,Только пиздеть и пиздить деньги могут. В виде банкротства!,Только пиздеть и пиздить деньги могут. В виде банкротства!,@KarlosMantana,2025-11-06T12:26:34Z,0
UgxqVYmdTlgeLZex7VN4AaABAg,cRFrpHoDGsc,,"Короче, как всегда казахские понты😂😂😂😂 😂😂😂","Короче, как всегда казахские понты😂😂😂😂 😂😂😂",@VyacheslavYurkin,2025-11-06T12:13:44Z,1
UgzYQAkN18J-rFCXGk14AaABAg,uWTO6556G3A,,"Чел просто популист,типичный блогер.Есть нарушения иди к руководству,ох уж эти любители снимать...","Чел просто популист,типичный блогер.Есть нарушения иди к руководству,ох уж эти любители снимать...",@kampanella5972,2025-11-06T12:06:16Z,1
UgyB8vjrWy8ThV7x8JV4AaABAg,JYJtdwNVPPs,,👋👋👋👋👋,👋👋👋👋👋,@БахытБигжанов,2025-11-06T12:04:08Z,0
Ugx1tEbVF44mEX-vRWl4AaABAg,uWTO6556G3A,,Правильно буряты разбирайтесь со своими проблемами. Нечего ехать туда где не рады,Правильно буряты разбирайтесь со своими проблемами. Нечего ехать туда где не рады,@flytotem,2025-11-06T12:03:16Z,0
UgwdiSUk9Ks8K0nbRA14AaABAg,DJc4MpMkdnI,,"На ,, разрешение,, надо платить чиновникам разных уровней....","На ,, разрешение,, надо платить чиновникам разных уровней....",@АйтбекЖанкаримов-э7н,2025-11-06T12:01:12Z,0
UgwSIrg_BVLXB2Ab9Kp4AaABAg.APAIPBypPlFAPBDSN26iq1,t_HtRmlKCVI,UgwSIrg_BVLXB2Ab9Kp4AaABAg,Kozel... Nacik poganyi,Kozel... Nacik poganyi,@VyacheslavYurkin,2025-11-06T12:01:09Z,0
Ugyt-iXavH0S6Egviqx4AaABAg.APB13hgzQDTAPBCrjNNW_D,t_HtRmlKCVI,Ugyt-iXavH0S6Egviqx4AaABAg,PIDORAS,PIDORAS,@VyacheslavYurkin,2025-11-06T11:56:01Z,1
UgzgsdSHQwk9qShGt6d4AaABAg,mW07S32VQKc,,Сократить на 90 процентов....,Сократить на 90 процентов....,@АйтбекЖанкаримов-э7н,2025-11-06T11:36:51Z,0
Ugz39XBhfE1BxhRJIXR4AaABAg.AP7qih9y8H5APB9AEnvEiA,t_HtRmlKCVI,Ugz39XBhfE1BxhRJIXR4AaABAg,"@ВалентинаЛейменовапросите побольше денежек у государства , за свои бесплатно полученные, в свое время , квартиры и земли, а при этом игнорируете государственный язык этой страны!  Вы наш казахский   язык приравниваете к вшам?!!! Не стыдно?!","@ВалентинаЛейменовапросите побольше денежек у государства , за свои бесплатно полученные, в свое время , квартиры и земли, а при этом игнорируете государственный язык этой страны!  Вы наш казахский   язык приравниваете к вшам?!!! Не стыдно?!",@aliyausseinova4781,2025-11-06T11:23:43Z,0
Ugz3JJVM-UbjQiBGK514AaABAg,t_HtRmlKCVI,,Есть план благоустройства города и акимы его придерживаются ☝️,Есть план благоустройства города и акимы его придерживаются ☝️,@Орман-я8н,2025-11-06T11:20:50Z,1
Ugx2CRbi3SIOyfa5EQp4AaABAg,Io8GbskM6WU,,ЖАЛЬ.,ЖАЛЬ.,@СредАз-К6Н7Р,2025-11-06T11:16:06Z,1
Ugz39XBhfE1BxhRJIXR4AaABAg.AP7qih9y8H5APB8Gpuj75X,t_HtRmlKCVI,Ugz39XBhfE1BxhRJIXR4AaABAg,"⁠@ВалентинаЛейменоваочень большая проблема, когда  вами игнорируется государственный язык! Который вы обязаны знать!  Валентина, учи казахский язык! А за тех « обездоленных» , которые бесплатно получили квартиры и земли в Алматы, не переживайте, получат они свои денежки… не смогут в Алматы купить, пусть в Павлодаре или Петропавловске покупают, все же ближе к своей исторической родине…","⁠@ВалентинаЛейменоваочень большая проблема, когда  вами игнорируется государственный язык! Который вы обязаны знать!  Валентина, учи казахский язык! А за тех « обездоленных» , которые бесплатно получили квартиры и земли в Алматы, не переживайте, получат они свои денежки… не смогут в Алматы купить, пусть в Павлодаре или Петропавловске покупают, все же ближе к своей исторической родине…",@aliyausseinova4781,2025-11-06T11:15:53Z,0
UgzKDJ3fgxQWhe13vj94AaABAg,gvDGa3Fw2Jc,,"это было сделано в СССР, и такое не смогут сделать сейчас, и говорят СССР нас гнабил грабил итд. хотя всё делали в СССР всё на совесть, а сейчас под демократией воруют но за то воровство этих людей никто не напоминает и совести нет ...","это было сделано в СССР, и такое не смогут сделать сейчас, и говорят СССР нас гнабил грабил итд. хотя всё делали в СССР всё на совесть, а сейчас под демократией воруют но за то воровство этих людей никто не напоминает и совести нет ...",@РустамСаломов-ф3ц,2025-11-06T11:10:35Z,1
Ugyt-iXavH0S6Egviqx4AaABAg.APB13hgzQDTAPB4wanSL8v,t_HtRmlKCVI,Ugyt-iXavH0S6Egviqx4AaABAg,"Несогласных - посадить. Выступающих против - расстрелять. Вперёд, в Новый Казахстан!!!","Несогласных - посадить. Выступающих против - расстрелять. Вперёд, в Новый Казахстан!!!",@Red_Avenger,2025-11-06T10:46:46Z,2
Ugz39XBhfE1BxhRJIXR4AaABAg.AP7qih9y8H5APB44YrQYs3,t_HtRmlKCVI,Ugz39XBhfE1BxhRJIXR4AaABAg,"​@metrkjo я говорю о том  , что люди ищут справедливости , а некоторые опять поднимают вопрос о казахском языке. В данный момент разговор идет о том ,что людей гонят с насиженного места . какая разница на каком языке люди говорят о своей проблеме ?","​@metrkjo я говорю о том  , что люди ищут справедливости , а некоторые опять поднимают вопрос о казахском языке. В данный момент разговор идет о том ,что людей гонят с насиженного места . какая разница на каком языке люди говорят о своей проблеме ?",@ВалентинаЛейменова,2025-11-06T10:39:15Z,0
UgzxotPZDvSzCTPa3nN4AaABAg,FIdjzMBanbE,,"Добрый день, посмотрели  Гиперборей про всё это, всю работу правоохранительных органов и  чиновников выполняют 2 человека! Это- Вы и Базарбек Б, позор чиновникам и правительству!!! Спасибо вам за активную работу, честность, бескорыстие и смелость! Срочно нужно баллотироваться в депутаты, расформировать 98 депутатов и  увеличить долю одномандатников, хотя бы до 50%.","Добрый день, посмотрели  Гиперборей про всё это, всю работу правоохранительных органов и  чиновников выполняют 2 человека! Это- Вы и Базарбек Б, позор чиновникам и правительству!!! Спасибо вам за активную работу, честность, бескорыстие и смелость! Срочно нужно баллотироваться в депутаты, расформировать 98 депутатов и  увеличить долю одномандатников, хотя бы до 50%.",@СаяТлеубай,2025-11-06T10:34:29Z,0
UgwelEL9CTDmtGmPySV4AaABAg.AP7xJ-vN47DAPB3LURl7Z8,t_HtRmlKCVI,UgwelEL9CTDmtGmPySV4AaABAg,"@AngryBear-xz4rcони и так , в свое время, бесплатно получили, и землю и квартиры… Получат деньги неплохие,  на которые смогут купить себе жилье в других городах KZ…","@AngryBear-xz4rcони и так , в свое время, бесплатно получили, и землю и квартиры… Получат деньги неплохие,  на которые смогут купить себе жилье в других городах KZ…",@aliyausseinova4781,2025-11-06T10:32:50Z,0
UgyeXL8ppd1x2Xe9Vk94AaABAg.AP7y6srEtTmAPB2phEFatr,t_HtRmlKCVI,UgyeXL8ppd1x2Xe9Vk94AaABAg,"@Гульнар-ш9с на эти деньги , они могут неплохие квартиры приобрести в Павлодаре, или Петропавловске … да и поближе будут жить к своей исторической родине…","@Гульнар-ш9с на эти деньги , они могут неплохие квартиры приобрести в Павлодаре, или Петропавловске … да и поближе будут жить к своей исторической родине…",@aliyausseinova4781,2025-11-06T10:28:21Z,1
UgyeXL8ppd1x2Xe9Vk94AaABAg.AP7y6srEtTmAPB2R1zHfmu,t_HtRmlKCVI,UgyeXL8ppd1x2Xe9Vk94AaABAg,"Получат неплохие деньги, за бесплатно полученные квартиры и дома…","Получат неплохие деньги, за бесплатно полученные квартиры и дома…",@aliyausseinova4781,2025-11-06T10:24:51Z,1
Ugxjanf8sy-NKFqzVl14AaABAg.AP6R2h16MI4APB20PQo5Jm,t_HtRmlKCVI,Ugxjanf8sy-NKFqzVl14AaABAg,"​@user-hz4ot5bk9gҚазақ тілінде дұрыстап жаз,☝️ орыс","​@user-hz4ot5bk9gҚазақ тілінде дұрыстап жаз,☝️ орыс",@metrkjo,2025-11-06T10:21:13Z,0
UgxWueowInn32STBo3t4AaABAg.AP83bNm3wgcAPB1q_waqom,t_HtRmlKCVI,UgxWueowInn32STBo3t4AaABAg,"Достойную сумму получат, за бесплатно полученные , в свое время, квартиры и земли…","Достойную сумму получат, за бесплатно полученные , в свое время, квартиры и земли…",@aliyausseinova4781,2025-11-06T10:19:44Z,1
Ugz-NzR7WMVWqTy_Q_B4AaABAg.AP6RgsR7YgBAPB1i43-mPG,t_HtRmlKCVI,Ugz-NzR7WMVWqTy_Q_B4AaABAg,Хотят чтобы в Алматы Казахов было 95%☝️,Хотят чтобы в Алматы Казахов было 95%☝️,@metrkjo,2025-11-06T10:18:34Z,0
Ugyt-iXavH0S6Egviqx4AaABAg,t_HtRmlKCVI,,"Никого не слушать!!!
Всё снести и построить новые дома!!!
Интересы этих ""недовольных"" не должны останавливать движение вперед и развитие Алматы!!!","Никого не слушать!!!
Всё снести и построить новые дома!!!
Интересы этих ""недовольных"" не должны останавливать движение вперед и развитие Алматы!!!",@Jayson354,2025-11-06T10:12:56Z,1
UgzWFdetS_9lqFBOIm94AaABAg.AP8FsKAjNeqAPB-kjc_UTo,t_HtRmlKCVI,UgzWFdetS_9lqFBOIm94AaABAg,"​@aliyausseinova4781Да, это так 
И сейчас такое идёт без остановки В любом месте, где начальство русские, там набирабт русских, т е идёт дискриминация по национальному признаку!","​@aliyausseinova4781Да, это так 
И сейчас такое идёт без остановки В любом месте, где начальство русские, там набирабт русских, т е идёт дискриминация по национальному признаку!",@летящая-л9б1881,2025-11-06T10:01:28Z,2
Ugx2SqdI-KvGUomZiIx4AaABAg,sN7zPeGs4R8,,ЗАЧЕМ!!! 😢 ЧТО ТВОРЯТ С АЛМАТЫ?!!! КУДА ОТВЕЗУТ ЭТОТ МРАМОР???!!!,ЗАЧЕМ!!! 😢 ЧТО ТВОРЯТ С АЛМАТЫ?!!! КУДА ОТВЕЗУТ ЭТОТ МРАМОР???!!!,@sholpan_m3878,2025-11-06T10:01:12Z,0
UgzHjFEaHiADvBhjyd94AaABAg.AP87GgWVAgoAPB-i6yHHlk,t_HtRmlKCVI,UgzHjFEaHiADvBhjyd94AaABAg,"Выплаты  неплохие получат, за бесплатно полученные  ,в свое время , земли и квартиры … На эти деньги можно купить и дом и квартиру в Павлодаре, или Петропавловске… да и поближе будет к своей исторической родине, меньше затрат на дорогу…","Выплаты  неплохие получат, за бесплатно полученные  ,в свое время , земли и квартиры … На эти деньги можно купить и дом и квартиру в Павлодаре, или Петропавловске… да и поближе будет к своей исторической родине, меньше затрат на дорогу…",@aliyausseinova4781,2025-11-06T10:01:06Z,0
UgzfqIykNoITv3EpDRl4AaABAg,DJc4MpMkdnI,,"Зачем нам вообще чипсы , вредные","Зачем нам вообще чипсы , вредные",@СалтанатТоктарова-ф4д,2025-11-06T09:58:10Z,0
UgxGfvLYLPdUIcaW7sJ4AaABAg,gvDGa3Fw2Jc,,Это настоящий ВАНДАЛИЗМ И ВОРОВСТВО!!! 🤨🤨🤨,Это настоящий ВАНДАЛИЗМ И ВОРОВСТВО!!! 🤨🤨🤨,@Lucy17-o1k,2025-11-06T09:54:57Z,0
Ugz39XBhfE1BxhRJIXR4AaABAg.AP7qih9y8H5APAzoETFpi_,t_HtRmlKCVI,Ugz39XBhfE1BxhRJIXR4AaABAg,"​@ВалентинаЛейменоваесть ещё хорошая чисто руская пословица ""Хорошо там где нас нет"",☝️💯","​@ВалентинаЛейменоваесть ещё хорошая чисто руская пословица ""Хорошо там где нас нет"",☝️💯",@metrkjo,2025-11-06T09:53:12Z,1
UgzWFdetS_9lqFBOIm94AaABAg.AP8FsKAjNeqAPAzPlHG5Lz,t_HtRmlKCVI,UgzWFdetS_9lqFBOIm94AaABAg,"До распада Союза, в микрорайонах Алматы, не встретишь ни одного казаха… на своей земле  казахи  были второсортным народом…","До распада Союза, в микрорайонах Алматы, не встретишь ни одного казаха… на своей земле  казахи  были второсортным народом…",@aliyausseinova4781,2025-11-06T09:49:43Z,1
Ugz-TjZL0rAGEqA4Dad4AaABAg.AP7vgE18I02APAzMrNUpKH,t_HtRmlKCVI,Ugz-TjZL0rAGEqA4Dad4AaABAg,"Өте дұрыс айтасың бауырым ☝️ орыс деген шовенис,колоборант және нациз халық ☝️ басқа ұлттарға қарағанда қазақ тілінде сөйлегісі келмейді ☝️💯","Өте дұрыс айтасың бауырым ☝️ орыс деген шовенис,колоборант және нациз халық ☝️ басқа ұлттарға қарағанда қазақ тілінде сөйлегісі келмейді ☝️💯",@metrkjo,2025-11-06T09:49:20Z,1
Ugzn0481dOtjEHII3gp4AaABAg,gvDGa3Fw2Jc,,"У этого здания есть паспорт 1980-х годов, где черно по белому написано, памятники культурного наследия, могут только реставрироваться и то только спец,  предприятием. И только колективным решением реставраторами, можно изменять планировку за это отвечает Министерство Культуры, а не Министерство Образования и Науки. Виноваты чиновники акимата г. Алматы и сам миниистр Культуры,  так как онн каждый год подписывет изменения в закон об статусе памятников местного значения, как раз этот памятник относиться мместного значения, а то что памятники города Алматы сняли с учета, это решения чиновников, а не специалистов, которых межлу прочем разогнали, не платя им зарплаты, во главе институтов ставя своих провенивших чиновников, а результат прывышает вместе взятых, мусульманские вандализм  VIII-IX, XIV-XV вв, Петровские бугравшики XVII века, уральское, омское и семиреченское казачества XIX-нач ХХ вв и Хрющевское время 1956-1964 гг. Казахский вандализм (из нации казахов) с 1995 по сегодняшний день 2025 год по уничтожению без возвратно уничтожил в 2.5 раз больше, что за те все эпохи. То есть за 20 лет уничтожели больше кочевого культурного наследия, чем за 500 лет, правления пришлых культур. В Казахстане в 1991 году насчитывалрсь 25 тыс памятников, на 2012 год 12,5 утратили свои статус, то есть эти территории было отдаты на урбанизацию. Своими глазами видел уничтожения памятников относящийся к моему народу, особенно больно было, когда заброшенное захоронения казахского могильника начало 20 века, было утилезированно. Гнев наших предков не за горами и не пожалеют они потомков своих. О Кудай меным, Жеты ата-бабалар, мусульманский Аллах и т.д., простите нас за лицимерную жадность.","У этого здания есть паспорт 1980-х годов, где черно по белому написано, памятники культурного наследия, могут только реставрироваться и то только спец,  предприятием. И только колективным решением реставраторами, можно изменять планировку за это отвечает Министерство Культуры, а не Министерство Образования и Науки. Виноваты чиновники акимата г. Алматы и сам миниистр Культуры,  так как онн каждый год подписывет изменения в закон об статусе памятников местного значения, как раз этот памятник относиться мместного значения, а то что памятники города Алматы сняли с учета, это решения чиновников, а не специалистов, которых межлу прочем разогнали, не платя им зарплаты, во главе институтов ставя своих провенивших чиновников, а результат прывышает вместе взятых, мусульманские вандализм  VIII-IX, XIV-XV вв, Петровские бугравшики XVII века, уральское, омское и семиреченское казачества XIX-нач ХХ вв и Хрющевское время 1956-1964 гг. Казахский вандализм (из нации казахов) с 1995 по сегодняшний день 2025 год по уничтожению без возвратно уничтожил в 2.5 раз больше, что за те все эпохи. То есть за 20 лет уничтожели больше кочевого культурного наследия, чем за 500 лет, правления пришлых культур. В Казахстане в 1991 году насчитывалрсь 25 тыс памятников, на 2012 год 12,5 утратили свои статус, то есть эти территории было отдаты на урбанизацию. Своими глазами видел уничтожения памятников относящийся к моему народу, особенно больно было, когда заброшенное захоронения казахского могильника начало 20 века, было утилезированно. Гнев наших предков не за горами и не пожалеют они потомков своих. О Кудай меным, Жеты ата-бабалар, мусульманский Аллах и т.д., простите нас за лицимерную жадность.",@МаксутБектасов,2025-11-06T09:47:56Z,0
UgyzCx3KbYlyn4XY7hl4AaABAg.AP8IRnuxxLeAPAz5DFei1g,t_HtRmlKCVI,UgyzCx3KbYlyn4XY7hl4AaABAg,​@aliyausseinova4781 если люди живут в Алматы зачем им переезжать в другой город???  Ну это чушь.  Вы бы переехали из Алматы туда??? Я однозначно нет,​@aliyausseinova4781 если люди живут в Алматы зачем им переезжать в другой город???  Ну это чушь.  Вы бы переехали из Алматы туда??? Я однозначно нет,@ДмитрийЗверев-э3м,2025-11-06T09:46:55Z,0
UgzWFdetS_9lqFBOIm94AaABAg.AP8FsKAjNeqAPAytfaBPVu,t_HtRmlKCVI,UgzWFdetS_9lqFBOIm94AaABAg,"В советское время директора , профсоюз и кадровички, все были не казахской национальности, вот и выдавали своим квартиры и земли… а казахам был ограниченный въезд в города, а счастливчики , которые смогли попасть, получали квартиры на пятом, или первом этажах…","В советское время директора , профсоюз и кадровички, все были не казахской национальности, вот и выдавали своим квартиры и земли… а казахам был ограниченный въезд в города, а счастливчики , которые смогли попасть, получали квартиры на пятом, или первом этажах…",@aliyausseinova4781,2025-11-06T09:45:12Z,2
