comment_id,text_original,lang_model,is_kazakh_model
Ugxq1-9NmHCw7g5k2w54AaABAg,"Көп сөз - боқ сөз... деген мақал бар Санжар. Бәрі бір жеңе алмайсың, утильсбор сияқты (((",kk,True
UgzZg2OZvu17RbuwEHx4AaABAg,Негізінде премьер миністір және жолақтардың барлығын алып баяғғы ғасырлардағыдай қазақша түрікше қайта үкімет жасақтау керек және сандарын қысқарту керек депудат сенат кешендерді алып тастау керек,kk,True
Ugx0kbul8ctCu9hi7b94AaABAg,Ұрылар жойылсын,kk,True
UgzqAsDonzpDTCxHF-J4AaABAg,"Жарадың Санжар! Аузын аштырмадың .Мелнкетті кері тартып отырған өңкей,осындай Ләппәй Тақсырлар!",kk,True
Ugys1nANZleCwVfidqR4AaABAg,Санжар аман болшы родной! Сен сиакты жигитер коп болсын!,kk,True
UgzGXI28FmxjWf1B-MZ4AaABAg,бирнарсе билем бизге атом станциясы керек ертен ток битип калса тагы зарлаймыз электричество жок деп,kk,True
UgxETWuXrwDsA7fG3Tt4AaABAg,Бызде Наурызбай Районында Акжар Мкр .4 Айга Кетты  Даулеткерей. Абдилдин Кошелерын Казганынна Алы Шункыр. Автобус Журмейды. Калык Трассага Дейын 45 Остановка Жаяу Журып Жетеды. Окушыларда 50 Жылдагыдай Жаяу Мектепке Барады. осфальт Атымен Жок. Каздымда Тастады,kk,True
Ugx_vyo4LFSOOXnkKr14AaABAg.AJVAevBPD_HAJVXa9q98MA,​​@ЖалгасМамуов-и4ебұл С.Бокаев бұрын акиматтың ішкі саясатының басшысы болған. Н. Дариғаның қолбаласы ғой. Соны да білмейсіз бе?,kk,True
UgzRWjuXJcVQ2lBtud54AaABAg,Шешеңнин бир жери шаштар,kk,True
UgxmEgqVbe4yWfRvfpl4AaABAg,"Утильзаводтың қажеті жоқ, утильді қалаларда авторазборлар жасауда және олар көлігін өткізген адамға ақша төлейді, утилден жиналған ақшаны соларға беріңдер",kk,True
UgzBBWP0zYlkhVme1l14AaABAg,Боқаев биліктің саиқалы,kk,True
UgzME_luDa_dHzExWz14AaABAg,Өз аймақтарда ауыл аудан қосылса нұр үстіене нұр болар еді. Ағай туыс жегжаттар Қазақ аңқау халық емес екенін дәлелдеу керек. Арамзалар керек емес бізге Ит мінезді адамдар тойған жеріне қызмет етеді Бартыр мінезділер туған жеріне қызмететеді. Бар болайық бір болайық елім жерімдеген Батыр болайық.,kk,True
UgyBFqUBHC-KhpPLfw54AaABAg,Аййй Санжар жəрайсын очередной афёраны тауып аштың анау сорлы тоқаепты əбден алдап соқты ау қз алигархтары мемлекет басындағы щенділер оны тіпті адам деп те санамауды қорқпайды сыйламайды.ап твамайттар аайййй.,kk,True
UgwGsWufTU3tgg0pfOV4AaABAg,"Енді түсінікті картоптың бағасының неге көтергені, салған ақшасын тез қайтарғысы келгендері ма?😂",kk,True
Ugw0u-By1KdC--135_N4AaABAg,Санжар боқаевты қайда қойсаңда еліміз ілгерлейді тоқаев мырза осындай қолынан іс келетін азаматты неге өкіметке қоймайсыз бір жемқорларды қоясыз олсізге ыңғайлыма жегенге,kk,True
UgxIf7o8IC9auKsKLCh4AaABAg,Барекелди,kk,True
Ugzh2sN5Df8--okxpK54AaABAg,"Кадры Тоқаева... 😂😂😂
Молодец Санжар, покажи пример честности... ❤❤❤",kk,True
Ugy0_D-FRs6seHrCQ1x4AaABAg,"Халыққа 85 аяп әзер берет, ана жемқорларға миллиардтар бля",kk,True
UgzIQhPrpJ2h3Hssv4x4AaABAg,"Санжар, бауырым, сәттілик тілеймын",kk,True
UgwRgmzyHbWRJY-Uqm94AaABAg,"Анау оңбаған Қытай мен Ресейдің сілімтік сүмелегі Кемель Жемельдің аузынан шыққан арам ниет қой ол, оған анау тойымсыз ҰрыБасы ҰрыСұлтан бұйрық берген (ол тойымсыз Қалмақ Итке қазақтың жері не керек) оған бәрі бір ақша қайдан келседе, адайлар көтеріліп қақбас ҰрыСұлтан мен оның күшігі сүмелек Кемель Жемель тығылатын тесік таппай қалмасын!?",kk,True
UgwfMQYzfMmgaXiNjxl4AaABAg,Ассалаумағалейкум Саке Алға,kk,True
Ugwl8zvpa4qub1os_WF4AaABAg,"Шарлапайды, Склярды орнынан құрту үшін не істеу керек? Неге біздің министрлікті орыстар,ағылшындар басқару керек? Менімше  утилсбордың 1,6триллион ақшасын іздеу керек, бұған ВТО мен МФОға,Эвроодаққа жүгініп, жегеніндерін желкелерінен шығару керек, Қазақстанның тексерушілерін бізде ешкім тыңдамайды, сонда ғана бұларды түрмеге жауып,Қазақстанның ел екенін,бізде де тәртіптің бар екенін дүние жүзіне білдіреміз. Осындай иттерге басқа қандай амал бар?бастаңыздар біз қолдаймыз.🎉❤",kk,True
UgzUb86yHX6IFHBEUMB4AaABAg,"Бәріне Назарбаев кінәлі, Тоқаев қорқақ жүрегі жоқ адам, қолынан ештеңе келмейді, сондықтан жүйені толықтай ауыстыру қажет.",kk,True
UgwvKJZzthNikjBBaZh4AaABAg,Жарайсың Санжар осындай видео коп шығару керек. Қазақтын қөзін ашу керек,kk,True
UgymG1fkWGtzmJYMzcN4AaABAg,Аллаһ тағала Санжарды қорғай гөр қолдай гөр.Күш қуат бере гөр ❤,kk,True
UgxmuGoDqitHzEDFoLJ4AaABAg,"Ассалаумағалейкум Санжар братан, жоғары жақтан жаны ашып сізге қосылып жатқан азаматтар барма
Ато сіз барлығын айтасыз.",kk,True
UgwJrPTDba7WDAw5fRB4AaABAg,СанжаргаЛайк,kk,True
Ugx0OznogtrcvQl5ITt4AaABAg.AN9eXbDJQJeANAFVyz2e_D,АИНАЛАИЫН САНЖАР АМАН БОЛЫҢЫЗШЫ,kk,True
UgxYgoH3bprgUAoCaEd4AaABAg,"Қолдаимын,тоқтамаи ақырына деиін жету керек,🎉🎉🎉🎉",kk,True
UgzmfOblgSR0tiH_1Qt4AaABAg,САНЖАРДЫ қолдаймыз деген ҚАЗАҚСТАНДЫҚТАР лайк👍👍👍👍👍👍,kk,True
Ugwd3_wVTCsH5Om0yo94AaABAg,Ия Алла,kk,True
UgzFPt9AcMKLO5nNXed4AaABAg,Мы Вас уважаем. Қолдаймыз.,kk,True
UgxM4sCumpECkB1VkuN4AaABAg,Халықтың несібесін жеп отырған оңбағандар қақалып өліңдер.қарғыс атсын сендерді.Қазақтың қанышерлері.жаулары,kk,True
UgzJoxzc7r8CJwoFUZ14AaABAg,Өтірікстан,kk,True
UgzZdyVFjFImCV-x5Nt4AaABAg,Кур утил жоиылсын деп дивана отырып шулаи бергеннен такие шыкпаиды. 1.   2 жыл утил алымды толемеикою керек тагыда баскадаи. Карекетке кошу керек  сондыктан билик керек,kk,True
UgwyjReL5QTMX1kQKAB4AaABAg,"МашАллаһ автор, МашАллаһ",kk,True
Ugy6q8FeIDAAomdn6bR4AaABAg,Мен қарсымын АЭС салынуына,kk,True
UgxA1-NwsNAZft2hzk14AaABAg,"Токаев скажет ""Все оК""",kk,True
UgwFs1orrMdZQmVxBcR4AaABAg,Шарлатан қойсай болды қашсай ертерек,kk,True
UgztOTenxOkVwK9HZ6x4AaABAg,"Ассаумагалейкум! 1 тал шапсан, 10 тал ек деген...",kk,True
Ugwa0A4bAuzq9L_6XCh4AaABAg,"Масқара, сорлы көргенсіз неме",kk,True
UgyaaA4fK1643w2JClN4AaABAg,Молодец Санжар! осылай ар азамат сен сиякты болсын,kk,True
UgzSntl64gmKa8WPD894AaABAg,Алға тек алға 👍,kk,True
UgyfPDZx48ZnqxbIUUV4AaABAg,Қайдан табамыз?,kk,True
Ugx0V0zNeAw6ntf7f0h4AaABAg,Өзіміз кінәлі бұға береміз сосын сұға береді,kk,True
UgzFUG1gdCuNml4rZ4R4AaABAg.9tTttS15Hy99tZ6ULM9sql,"Президентке Мухтар Кабулович пен Джакишев болмаса, санжардын денгейi жетпейдi.",kk,True
UgwkhABXCjH7xv3C4JB4AaABAg,Ұят болғандықтан кеткен екен ғой,kk,True
UgzKyrbWkJ5mjao0Jfd4AaABAg,"Солай болған жағдайда , отандық деп өндіріп жатырмыз деген көлік құралының бағасының жартысын , сол олигархтар өтесін !",kk,True
UgyI5znf0m9iEGDIx9V4AaABAg,Санжар жалғыз шырылдап жүгіріп жүреді.Осындай жүз Санжар болса біздің мемлекетіміздің барлық жерінде .Онда Қазақстан барлық жағынан  дамитын еді.Санжар жалғыз не істей алады.Қаншама еңбек барлық есеп қисабын дайындап апарған.Ал біздің министірлер алдында жазып дайындап берген қағазды оқи алмай мыңқылдап тұрады.,kk,True
UgyRi0FlKyZK180zAE54AaABAg,Үкіметте өңкеи жемқор малдар отырса Қазақтың жаулары,kk,True
UgwrGEiovvv_Iusqk_d4AaABAg,Да у нас умных не любят айналаин балам абай бол таки сыны нашей бедной стране нужны денин сау болсын нагыз патриот казак жерин жерге тастамай журсин ❤❤❤,kk,True
UgxOIy2vNQ_oSPdgtsp4AaABAg,"Өкіметке қалай сенесің мынадан кейн, 8 жылда жасаған жетістіктері осы ма. Халықтан жиналған ақшаны олигархтарға есепсіз  таратып, осыны промышленность деп отыр ма ұялмай. Халықта көтерілістен басқа амал жоқ сияқты 🔥✊",kk,True
Ugyp8hgekGjUGmC3_Dd4AaABAg,"Шарлапаевтың орнында Санжар Боқаев министр болуы керек.
Нағыз азамат Санжар.
Қолдаймыз сенімен до қонца барамыз",kk,True
UgyDF1qyV1rj_iOLR954AaABAg,Мынауын дурыс болмады казакша быр ауыз соз айтпаганын корынып тур казактарды менсынбейтынын,kk,True
UgxbCVH93zcHIzB_cup4AaABAg,Санжар жарайсыз. Тек алға!,kk,True
UgypQ6ru8AzsvbYVbUt4AaABAg,Санжар көріп оқып отсаңыз осы халық кезекте тұрған жер телімдерін бір көтерсең,kk,True
UgzQb2yTzWGe_k8d7wB4AaABAg,Жарайсың. Нағыз азамат.,kk,True
UgzzGpQ_UaVMrqzLFOh4AaABAg,"Санжар молочный заводтарға баршы олар қанша сүт тасиды,  қайдан тасиды,  қанша сиырлары бар. Көбі Қытайдың порашок сүтіне және пальмового маслодан жасайды дейді.",kk,True
UgxxdvyED5s7txgoE0B4AaABAg,Санжар Ассалаумағалейкум сенімен қалай хабарлассақ болады.Өзекті мәселе бар бізде де .,kk,True
UgwCHT-gxhfizaY5w-J4AaABAg,Склярды қамау керек,kk,True
UgygFQaLUfYFpbmnQJ54AaABAg,Қымбатшылыққа қарсы да петиция жинау керек.,kk,True
UgwUBWwqVgAYKzX24Dp4AaABAg,Халықтың нағыз жаулары осы,kk,True
Ugxa3l5V11qGTdlOLWh4AaABAg,Негізі сен қазақсың ба или орыстың құлысың ба құл ғана өзінің қожайнының тілінде сойлейді,kk,True
UgyX073eAnzytLA0kGl4AaABAg.9vvDwrjkgNg9w0lc-2cUIi,​@Проо-м3юсөйлейд,kk,True
Ugx7O_pLvwlq-SMN4Sp4AaABAg,Әй жарайсың бауырым міне арттарын аштың,kk,True
Ugx9CO94xdTYSgkySux4AaABAg,Колдаймыз..🎉,kk,True
UgxMetmYRebFhQRj4h14AaABAg,"Үкімет лағып кеткен,не айтып не қойғанын өздері білмейді,ойларына келгенін істеп жүр!!!",kk,True
UgyCVh6b-najvuw9Ljd4AaABAg,Депутат деген ослай болу керек жарайсың бауырым Санжар қазақшаң аздау сенің көбіне орысша.,kk,True
Ugz3RLl2EdRxf3sIZoB4AaABAg,"Масқарағой мынау, сумдық, ай ай басшыларай, тойымсыз қорқаулар",kk,True
Ugy91vBRsD3ea5IlT8B4AaABAg.9nDr0MzmEnr9nDtJQGONRA,"қайдағы қасқыр мынау???!!!! шакалдар бұлар , қорқау шибөрілер жай ғана !!! Путиннің көтіне кірген Токаевпен қоса",kk,True
UgzFkSEUWb-UvmwVpil4AaABAg,Қазақстан бойынша болғанда жақсы болар еді саған басқа облыстан қалай дауыс беруге болады,kk,True
Ugz_a68hXUx3xyftexZ4AaABAg,Алла амандық берсін.,kk,True
UgwOMgdBPBrtqTiqET94AaABAg,"Ұрылар елді басқарып отыр, масқара қайда кетіп барамыз.
Ұят, ардан жұрдай адамдар, үміті үзілмей жүрген халықтың жағдайын кім шешеді??? Заң, қайда? Үкмет қайда? Қай елде тұрып жатырмыз???",kk,True
Ugyj75Cxwge4TfTMT-x4AaABAg,Мынау котак бас екенго   щешенин ами,kk,True
UgxkDzwUFKRzUvFuKu54AaABAg,Арам тамақтар сука квадрат кафел 5 мың тг тұрады,kk,True
Ugxk3GqVLXeAvJZTAph4AaABAg,Пид...дар әйтеуір алаяқтықпен ақша жеудің амалы! Жемқорларға өлім!,kk,True
UgyqoEmGcADKd03RVPF4AaABAg,"""Неправедный пусть еще делает неправду; нечистый пусть еще сквернится; праведный да творит правду еще, и святый да освящается еще.12Се, гряду скоро, и возмездие Мое со Мною, чтобы воздать каждому по делам его.13Я есмь Альфа и Омега, начало и конец, Первый и Последний! "" . Библия. Откровение 22. 11.
Иса Мәсіх - Құдайдың тірі СӨЗІ. 
     Киелі Кітап. Аян 22:11 ""Әділетсіздер әділетсіз істерін әлі де жасап, арамдар арамдықтарын істей берсін, ал әділдер әділ істерін жалғастырып, қасиеттілер әлі де қасиетті бола берсін», — деді.
     12Иеміз Иса маған тіл қатып:
     — Тыңда, Мен жуырда келемін! Әркімге ісіне қарай беретін сыйымды Өзіммен бірге ала келемін.13Алғашқы да Соңғы, Бастапқы да Ақырғы, Басы да Аяғы Менмін !""",kk,True
UgzLa45KsU8kKykfqkZ4AaABAg,Алла Тағала сені қолдасын Қазақстан еліне осындай халықтың қамын ойлап жүретін азаматтар жетпейді,kk,True
UgzMpY2jbPCUDXz-AwB4AaABAg,Жұмысын жасай алмайтын министер кетсін. Президент жұмысты қолға алсын,kk,True
UgxUL0sQANv-fS7Vbq14AaABAg,Утильалым не болды бастадыңда айақсыз қалды халық сеніп еді,kk,True
UgyZ1Arks8kz5vD_wN14AaABAg,"Евразиялық экономикалық одақтан шығу үшін алдымен, біз өзіміздің Ресейге экономикалық тәуелді тұстарымызды диверсификациялауымыз қажет. Мысалға Ресей арқылы өтетін мұнай-газ құбырын басқа елдер арқылы жүргізу арқылы Еуропаға тасымалдау. Осы сияқты экономикалық тәуелді тұстарымыз жетіп артылады. Сосын барып біз Ресейге өзіміздің шарттарымызды қоя аламыз деп ойлаймын. Ол үшін бізге мінезді, ұлтжанды, патриот, білімді азаматтар керек. Санжар сияқты. Егер де билік Ресейден экономикалық тәуелсіз болуға нақты қадамдар жасайтын болса, меніңше Санжар сияқты жігіттер аз емес. Алға Санжар, Алға Қазақстан. Тек бір Алла жар болсын қазақтың осындай азаматтарына.",kk,True
Ugy5IaqIy2PRGg04QxJ4AaABAg,Токаевтың айтқанын керсінше түсінсең сол болады,kk,True
UgybZzXtR9OwiDbV6pV4AaABAg,"Санжар мен сени жаксы корем,инимдеи агамдай,деп аитпаимын,мен саган акеме ,шешеме сенгендей сенем сен казактын нурысын,куранда нур деген соз коп,мен сени колдаимын,и жаксы корем по братски",kk,True
Ugy72HK_MgeApcSVpld4AaABAg,Тоқай Қасым елді басқаруға шамасы келмейді Санжар неге кет деп айтпайсың ?,kk,True
Ugy0VNb-pwYCW8a_Hpt4AaABAg,Халык жаулары олар скалар,kk,True
UgxVmGW0Sm8tSPX4sqd4AaABAg,Утилтді алып тастаса халық кредитке көлік алмаиды Ал ол назарбаевски жемқор шаикаға керек емес Утильді алса таможнядан банктен ақшадан қағылады оларға ондаи керек емес енді не істерлерін білмеи бастары қатып отыр Санжар халық сенімен бірге Бірақ менің өз оиым мүмкін Санжарды мәскеуде оқып жүргенде вербовать етіп алған жоқпа?  деген оилар келеді өйткені назарға қарсы шыққаның барлығын без суда и следствия қамап соттап  жіберіп жатыр Осы моментте менде күмән паида болады Неге Санжарға тисе алмаиды бәлкім путин көкелерінен бата алмаитын шығар деген оилар туындаиды,kk,True
UgxoXsXCx2qGJdz0kop4AaABAg,"Питиция түк шешпейді, бұлардың бәрін Қырғыз бауырларымыз сияқты  сабау керек. Әбден мезі қылды халықты.",kk,True
UgwqSPRfE_cudakQvTh4AaABAg,"АЭС бізге керек емес .1 бұл ресейдің бұйрығы сол арқылы Қазақстанды өзіне тәуелді еткісі келеді. 2 қәуіпсіздікке үлкен қауіп тудырады.ол қытай жақтан   немесе ресейден.3 бізде кадр мәселесі бар. 4 біздің салғыттығымыз бар , жарылыс болса ол өте үлкен зиян. Солай пайдасынан зияны басым. Біздің билік тек өздерінің жағдайын жасап отыр елмен мүлдем жұмысы жоқ. Біз АЭСке қарсымыз.",kk,True
UgxRQbWt5wG71goWlS94AaABAg,Санжар! Аллам өзіңіді аман сақтасын!🤲🤲🤲 Сен халыққа керексің!!!,kk,True
UgxHwDnyqeOwHUpV0Ot4AaABAg,"Маскара - Палестина халқы 1 м жерге қандарың төгіп, өмірің беріп жатыр, мынау тіпті ақыл есі дұрыс адамның ісі ғой 100 000 кв.м 😪😪😪 жерді беру- Олай болмау керек. Тоқтатылсың жерді саудалап, жалға берілгенді. Ол туралы сөзде көтерілмеу керек. Мына әкім - әкімдігіңе сай емес адам.",kk,True
UgziOosm0r_S-br7eot4AaABAg,Санжар бауырым саған ризамын,kk,True
UgyrP1atxUxNMTbooKl4AaABAg,Бардак бизде.дизгинды устайтын мыкты жигит болса батыл батыр казакка жаны ашитын. кара калыкка занды кушейткенше басекелерге кушейту керек занды. жеп урлап койса жердин любой тесигинен тауып акеп басын шабу керек. сонда казакстан дамитыны бар. ато жагдай нашар кымбатшылык адилдик жок кредитке корага тыгып тастады болашак жок.баска елды караш Араб.Турик агайындар мыкты хотя оларда биздегиди байлык жокой Озбек.Кырныз агайындар бизден жаксы жагдайлары балык басынан ширит деушет бизде бастан аяк жемкорлар,kk,True
UgzhAcrM_kDY3WgDZRZ4AaABAg,ЖЕМКОРЛАР  МЧС  ИЛЬИН  АХМЕТОВ  МИНИСТР  ЭКОЛОГИЙ СОТАП  ҚАМАУ  КЕРЕК ...,kk,True
UgyA-ejwDAAUGis9OKt4AaABAg,"Жарайсың Санжар. Біз біргеміз, қолдаймыз.",kk,True
UgwWDkVPML-E1J9KUnl4AaABAg,Колдаймыз❤,kk,True
UgzcWagynB20bfSRHnl4AaABAg,"Санжар, тек Алга.",kk,True
UgyyULZs7nvSMBWVMth4AaABAg,Ассалаумағалайкум жарайсың Санжар бауырым біз семен біргеміз енді көтерулуміз керек енді аиямаймыз,kk,True
Ugw28m7QO3ogtCekGmt4AaABAg,САНЖАР ЖАРАЙСЫҢ! СОҢЫНА ДЕЙІН БАР.  ХАЛЫҚ СЕМЕН БІРГЕ.  БИЛІКТІҢ БОҚТАРЫ АРТЫҢНАН САСЫТА БЕРЕДІ...,kk,True
UgxiEael0Kzag81Jwj94AaABAg,"Оңбаған коррупционерлер, бұлар ел тізгінінен қашан кетеді, бұл коррупция өршіп барады ғой",kk,True
Ugw6bbWz6gslQv_h5n14AaABAg,Молодец Санжар. Тіл табандарың. Әкелерінің  аузың ырбит. Мырқымбайлардың.,kk,True
Ugwjup-n0EyWobSI0pZ4AaABAg,Санжар ел баскаратын нагыз халыкты ойлайтын жигит,kk,True
UgxpzAdJx786U6tbgDV4AaABAg,Масқара.Антикор неге тексермейді.,kk,True
UgzlEiyCGlwzZwg99154AaABAg,Алга Утелмен первышка алынсын,kk,True
Ugy8yR4ymUbE_X8CU4x4AaABAg,"Халыққа байланысты мәселе не себептен құпия талқылануы керек ? Белсенділердің айтқаны дұрыс барлығы ашық түрде, онлайн өткізілу керек ,халық біліу керек бұл мәселенің қалай талқыланып жатқанын ,позорғой бұл дейтін бүткіл бір үкімет 3-4қазақ азаматынан қорқып жиналысты құпия түрде өткіземіз дегендері.",kk,True
UgxUFzuuUdfdIcY95W54AaABAg.AITTmM95tiBAITmUS59KEE,"Санжар жарайсың !!! Тек Алға !!! Өткенде Рысбек Аға ұйымдастырған жиында айтқан ұсыныстарыңа риза болдым, соларды іске асыруға жұмыс жасау керек...халыққа нәтиже керек.....бірігу керек, күш бірлікте, соны ұмытпаңдар бауырым Санжар !!!",kk,True
